EntrezID,GeneID,Symbol,Description,Protein Name,UniProt ID
1212,ENSG00000175416,CLTB,clathrin light chain B,Clathrin light chain B,Q53Y37; P09497; Q6FHW1
1213,ENSG00000141367,CLTC,clathrin heavy chain,Clathrin heavy chain 1,Q6N0A0; Q86TF2; Q00610; D3DU00
1215,ENSG00000092009,CMA1,chymase 1,Chymase,P23946; Q3SY36; B5BUM8; Q16018; Q3SY37; Q9UDH5
1230,ENSG00000163823,CCR1,C-C motif chemokine receptor 1,C-C chemokine receptor type 1,Q86VA9; P32246
1232,ENSG00000183625,CCR3,C-C motif chemokine receptor 3,C-C chemokine receptor type 3,P51677; Q86WD2; B3KVQ1; Q2YDB9; Q8TDP6; F5GWL6; Q9ULY8; Q15748
1233,ENSG00000183813,CCR4,C-C motif chemokine receptor 4,C-C chemokine receptor type 4,Q9ULY7; Q9ULY6; P51679
1234,ENSG00000160791,CCR5,C-C motif chemokine receptor 5,C-C chemokine receptor type 5,O14704; O14692; O14695; O14698; O14702; O14705; O14708; O15538; O14697; O14706; O14707; O14696; O14703; O14693; O14700; Q9UPA4; O14699; P51681; O14701
1235,ENSG00000112486,CCR6,C-C motif chemokine receptor 6,C-C chemokine receptor type 6,P51684; Q92846; E1P5C6; P78553
1236,ENSG00000126353,CCR7,C-C motif chemokine receptor 7,C-C chemokine receptor type 7,P32248
1237,ENSG00000179934,CCR8,C-C motif chemokine receptor 8,C-C chemokine receptor type 8,P51685; Q9BYX5; Q3KNQ8; Q3KNR3; B2RC64
1238,ENSG00000144648,ACKR2,atypical chemokine receptor 2,Atypical chemokine receptor 2,O00590; Q86UN9; B2R8Y8; O00537; Q53YA1; Q96A02
1240,ENSG00000174600,CMKLR1,chemerin chemokine-like receptor 1,Chemerin-like receptor 1,A8K6Y5; Q99789; Q99788; Q5U0H0; Q3KP37; O75748
1241,ENSG00000213903,LTB4R,leukotriene B4 receptor,Leukotriene B4 receptor 1,Q15722; Q53XV5; Q13305; Q92641; Q9BSU5
1244,ENSG00000023839,ABCC2,ATP binding cassette subfamily C member 2,ATP-binding cassette sub-family C member 2,Q9UMS2; B2RMT8; Q92887; Q5T2B1; Q14022; Q92500; Q99663; Q92798
1258,ENSG00000070729,CNGB1,cyclic nucleotide gated channel subunit beta 1,Cyclic nucleotide-gated cation channel beta-1,Q14028; Q9UMG2; Q13059; Q14029; H3BN09; O43636
1259,ENSG00000198515,CNGA1,cyclic nucleotide gated channel subunit alpha 1,cGMP-gated cation channel alpha-1,Q16279; Q16485; P29973; Q4W5E3; A8K7K6; J3KPZ2
1260,ENSG00000183862,CNGA2,cyclic nucleotide gated channel subunit alpha 2,Cyclic nucleotide-gated olfactory channel,A0AVD0; Q16280
1261,ENSG00000144191,CNGA3,cyclic nucleotide gated channel subunit alpha 3,Cyclic nucleotide-gated cation channel alpha-3,Q16281; Q4VAP7; E9PF93; Q9UP64; Q53RD2; Q6ZNA7
1262,ENSG00000132259,CNGA4,cyclic nucleotide gated channel subunit alpha 4,Cyclic nucleotide-gated cation channel alpha-4,Q8IV77
1263,ENSG00000173846,PLK3,polo like kinase 3,Serine/threonine-protein kinase PLK3,Q9H4B4; Q15767; Q96CV1; Q5JR99
1264,ENSG00000130176,CNN1,calponin 1,Calponin-1,Q8IY93; B2R868; O00638; B4DUX6; Q15416; Q99438; P51911
1265,ENSG00000064666,CNN2,calponin 2,Calponin-2,D6W5X9; Q99439; A6NFI4; A5D8U8; Q92578
1266,ENSG00000117519,CNN3,calponin 3,Calponin-3,F8WA86; Q6FHA7; Q15417; B4DP09; B4DFK6
1267,ENSG00000173786,CNP,"2',3'-cyclic nucleotide 3' phosphodiesterase","2',3'-cyclic-nucleotide 3'-phosphodiesterase",P09543
1268,ENSG00000118432,CNR1,cannabinoid receptor 1,Cannabinoid receptor 1,Q4VBM6; Q5UB37; Q4PLI4; P21554; Q495Z0; Q9UNN0; Q5JVL5; B2R9T4; Q13949; E1P512
1269,ENSG00000188822,CNR2,cannabinoid receptor 2,Cannabinoid receptor 2,Q5JRH7; Q6B0G7; C6ES44; Q4VBK8; Q6NSY0; P34972
1270,ENSG00000242689,CNTF,ciliary neurotrophic factor,Ciliary neurotrophic factor,P26441; B2RAB2
1271,ENSG00000122756,CNTFR,ciliary neurotrophic factor receptor,Ciliary neurotrophic factor receptor subunit alpha,P26992; Q5U050
1272,ENSG00000018236,CNTN1,contactin 1,Contactin-1,A8K0H9; A8K0Y3; Q14030; Q12860; Q8N466; Q7M4P0; Q12861
1277,ENSG00000108821,COL1A1,collagen type I alpha 1 chain,Collagen alpha-1(I) chain,Q59F64; Q13896; Q9UMM7; Q9UML6; Q14037; Q15176; O76045; Q7KZ30; Q7KZ34; Q8N473; P78441; Q13903; Q13902; Q15201; P02452; Q16050; Q14992; Q8IVI5
1278,ENSG00000164692,COL1A2,collagen type I alpha 2 chain,Collagen alpha-2(I) chain,Q9UM83; Q15177; Q9UMI1; Q15947; Q16480; P02464; Q16511; Q7Z5S6; Q9UEB6; Q9UMM6; Q9UPH0; Q13897; Q13997; Q14038; Q14057; Q9UEF9; Q9UML5; P08123; Q13998
1280,ENSG00000139219,COL2A1,collagen type II alpha 1 chain,Collagen alpha-1(II) chain,Q14058; P02458; A6NGA0; Q2V4X7; Q6LBY3; Q96IT5; Q99227; Q9UE40; Q9UE41; Q14047; Q6LBY1; Q6LBY2; Q9UE39; Q9UE43; Q1JQ82; Q9UE38; Q9UE42; Q14046; Q12985; Q14056; Q16672; Q14009; Q14044; Q14045
1281,ENSG00000168542,COL3A1,collagen type III alpha 1 chain,Collagen alpha-1(III) chain,Q9UC91; P78429; P02461; Q9UC89; V9GZI1; Q8N6U4; Q9UC88; Q9UC90; Q541P8; Q6LDJ3; Q7KZ56; D3DPH4; Q15112; Q6LDB3; D2JYH5; R4N3C5; Q16403; Q53S91; Q6LDJ2
1282,ENSG00000187498,COL4A1,collagen type IV alpha 1 chain,Collagen alpha-1(IV) chain,Q86X41; Q9NYC5; B1AM70; Q5VWF6; A7E2W4; Q8NF88; P02462; F5H5K0; Q1P9S9
1284,ENSG00000134871,COL4A2,collagen type IV alpha 2 chain,Collagen alpha-2(IV) chain,Q66K23; Q5VZA9; P08572; Q14052; Q548C3
1285,ENSG00000169031,COL4A3,collagen type IV alpha 3 chain,Collagen alpha-3(IV) chain,Q53QQ1; Q9BQT2; Q01955; Q53R14; Q9UDK9; Q9UDL1; Q53RW8; Q9NYC4; Q9UDJ9; Q9UDL0
1286,ENSG00000081052,COL4A4,collagen type IV alpha 4 chain,Collagen alpha-4(IV) chain,P53420; Q53WR1; A8MTZ1; Q53S42; Q53RW9
1287,ENSG00000188153,COL4A5,collagen type IV alpha 5 chain,Collagen alpha-5(IV) chain,P29400; Q16006; Q16126; Q7Z700; Q9NUB7; Q6LD84
1288,ENSG00000197565,COL4A6,collagen type IV alpha 6 chain,Collagen alpha-6(IV) chain,Q14053; Q9UJ76; Q9Y4L4; Q14031; Q9NTX3; Q9UMG6; Q12823; Q5JYH6; Q5JYH8; Q9NQM5
1289,ENSG00000130635,COL5A1,collagen type V alpha 1 chain,Collagen alpha-1(V) chain,Q5SUX4; A0A087WXW9; Q15094; P20908
1290,ENSG00000204262,COL5A2,collagen type V alpha 2 chain,Collagen alpha-2(V) chain,P78440; Q59GR4; Q13908; Q86XF6; P05997; Q7KZ55; Q96QB3; Q6LDJ5; Q96QB0; Q53WR4
1291,ENSG00000142156,COL6A1,collagen type VI alpha 1 chain,Collagen alpha-1(VI) chain,Q9BSA8; Q14040; O00118; Q14041; O00117; P12109; Q16258; Q7Z645
1292,ENSG00000142173,COL6A2,collagen type VI alpha 2 chain,Collagen alpha-2(VI) chain,Q16259; Q16597; Q9UML3; Q14048; Q14049; Q13909; P12110; Q9Y4S8; Q13910; Q13911; Q6P0Q1
1293,ENSG00000163359,COL6A3,collagen type VI alpha 3 chain,Collagen alpha-3(VI) chain,P12111; B4E3U5; Q16501; A8MT30; B7ZMJ7; Q53QF6; E9PGQ9; Q53QF4; E9PFQ6
1294,ENSG00000114270,COL7A1,collagen type VII alpha 1 chain,Collagen alpha-1(VII) chain,Q14054; Q16507; Q02388
1295,ENSG00000144810,COL8A1,collagen type VIII alpha 1 chain,Collagen alpha-1(VIII) chain,D3DN42; P27658; Q96D07; Q53XI6
1296,ENSG00000171812,COL8A2,collagen type VIII alpha 2 chain,Collagen alpha-2(VIII) chain,P25067; Q8TEJ5; Q5JV31
1297,ENSG00000112280,COL9A1,collagen type IX alpha 1 chain,Collagen alpha-1(IX) chain,P20849; Q9Y6P2; Q9H151; Q99225; Q9H152; Q6P467; Q13699; Q13700; Q5TF52; Q96BM8; Q9Y6P3
1298,ENSG00000049089,COL9A2,collagen type IX alpha 2 chain,Collagen alpha-2(IX) chain,B2RMP9; Q14055
1299,ENSG00000092758,COL9A3,collagen type IX alpha 3 chain,Collagen alpha-3(IX) chain,Q14050; Q13681; Q9UPE2; Q9H4G9
1300,ENSG00000123500,COL10A1,collagen type X alpha 1 chain,Collagen alpha-1(X) chain,Q03692; A1L4P2
1301,ENSG00000060718,COL11A1,collagen type XI alpha 1 chain,Collagen alpha-1(XI) chain,B1ASK7; P12107; E9PCU0; Q149N0; Q9UIT5; Q9UIT4; Q14034; D3DT73; Q9UIT6
1302,ENSG00000204248,COL11A2,collagen type XI alpha 2 chain,Collagen alpha-2(XI) chain,Q07751; P13942; Q99866; Q9UIP9; E7ER90; Q13273; Q5SUI8; Q13271; Q13272; A6NLX2; Q5JP94; Q7Z6C3
1303,ENSG00000111799,COL12A1,collagen type XII alpha 1 chain,Collagen alpha-1(XII) chain,O43853; Q99715; Q5VYK1; Q99716; Q71UR3; Q15955; Q5VYK2
1305,ENSG00000197467,COL13A1,collagen type XIII alpha 1 chain,Collagen alpha-1(XIII) chain,E7EWL8; Q99228; B9EGD2; Q5TAT4; Q5TAT5; A6NFR5; Q13992; Q13995; Q7KZ33; Q7KZ49; Q9NQ52; Q13996; Q5TAT6; Q13993; Q13994
1306,ENSG00000204291,COL15A1,collagen type XV alpha 1 chain,Collagen alpha-1(XV) chain,Q9Y4W4; Q5T6J4; Q9UDC5; P39059
1307,ENSG00000084636,COL16A1,collagen type XVI alpha 1 chain,Collagen alpha-1(XVI) chain,Q59F89; Q71RG9; Q07092; Q16593
1308,ENSG00000065618,COL17A1,collagen type XVII alpha 1 chain,Collagen alpha-1(XVII) chain,Q5JV36; Q02802; Q99018; Q9NQK9; Q9UMD9; Q9UC14
1310,ENSG00000082293,COL19A1,collagen type XIX alpha 1 chain,Collagen alpha-1(XIX) chain,Q14993; Q5T424; Q9NPZ2; Q13676; Q9NQP2; Q05850; Q5JUF0; Q14DH1; Q9H572; Q00559; Q12885
1311,ENSG00000105664,COMP,cartilage oligomeric matrix protein,Cartilage oligomeric matrix protein,P49747; Q16388; Q2NL86; O14592; Q16389; B4DKJ3; Q8N4T2
1312,ENSG00000093010,COMT,catechol-O-methyltransferase,Catechol O-methyltransferase,A8MPV9; Q6ICE6; Q9BWC7; P21964; Q6IB07
1314,ENSG00000122218,COPA,COPI coat complex subunit alpha,Coatomer subunit alpha,Q8IXZ9; Q5T201; P53621
1315,ENSG00000129083,COPB1,COPI coat complex subunit beta 1,Coatomer subunit beta,Q9NTK2; Q9UNW7; Q6GTT7; P53618; D3DQX0
1316,ENSG00000067082,KLF6,KLF transcription factor 6,Krueppel-like factor 6,D3DRR1; B4DDN0; Q5VUT8; B2RE86; F5H3M5; Q5VUT7; Q9BT79; Q99612
1317,ENSG00000136868,SLC31A1,solute carrier family 31 member 1,High affinity copper uptake protein 1,O15431; Q53GR5; A8K8Z6; Q5T1M4
1318,ENSG00000136867,SLC31A2,solute carrier family 31 member 2,Protein SLC31A2,O15432
1325,ENSG00000241563,CORT,cortistatin,Cortistatin,O00230; Q6UX11; Q5T6G0
1326,ENSG00000107968,MAP3K8,mitogen-activated protein kinase kinase kinase 8,Mitogen-activated protein kinase kinase kinase 8,A8K2Q5; Q5T855; P41279; Q14275; Q9HC81; D3DRX1
1327,ENSG00000131143,COX4I1,cytochrome c oxidase subunit 4I1,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",Q6P666; B2R4J2; D3DUM7; P13073
1329,ENSG00000135940,COX5B,cytochrome c oxidase subunit 5B,"Cytochrome c oxidase subunit 5B, mitochondrial",P10606; Q96J18; Q99610; Q53YB7
1337,ENSG00000111775,COX6A1,cytochrome c oxidase subunit 6A1,"Cytochrome c oxidase subunit 6A1, mitochondrial",B2R500; P12074; Q32Q37; O43714
1339,ENSG00000156885,COX6A2,cytochrome c oxidase subunit 6A2,"Cytochrome c oxidase subunit 6A2, mitochondrial",Q6GTW6; Q02221; O00761
1340,ENSG00000126267,COX6B1,cytochrome c oxidase subunit 6B1,Cytochrome c oxidase subunit 6B1,Q6IBL4; B2R5C9; P14854
1345,ENSG00000164919,COX6C,cytochrome c oxidase subunit 6C,Cytochrome c oxidase subunit 6C,P09669; B2R4D7
1346,ENSG00000161281,COX7A1,cytochrome c oxidase subunit 7A1,"Cytochrome c oxidase subunit 7A1, mitochondrial",P24310
1347,ENSG00000112695,COX7A2,cytochrome c oxidase subunit 7A2,"Cytochrome c oxidase subunit 7A2, mitochondrial",Q6FGI2; P14406; Q3MIH5; B2R5E1; Q5TF59
1349,ENSG00000131174,COX7B,cytochrome c oxidase subunit 7B,"Cytochrome c oxidase subunit 7B, mitochondrial",P24311; B2R4M3; Q6ICR1
1350,ENSG00000127184,COX7C,cytochrome c oxidase subunit 7C,"Cytochrome c oxidase subunit 7C, mitochondrial",P15954; Q6NR81
1351,ENSG00000176340,COX8A,cytochrome c oxidase subunit 8A,"Cytochrome c oxidase subunit 8A, mitochondrial",P10176; P15955
1352,ENSG00000006695,COX10,cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10,"Protoheme IX farnesyltransferase, mitochondrial",O15334; B4DJ50; Q12887; Q969F7; B2R6U5
1353,ENSG00000166260,COX11,cytochrome c oxidase copper chaperone COX11,"Cytochrome c oxidase assembly protein COX11, mitochondrial",Q9Y6N1; I3L220; D3DTY5; Q6FHB7; Q9BRX0; Q9UME8
1355,ENSG00000014919,COX15,cytochrome c oxidase assembly homolog COX15,Cytochrome c oxidase assembly protein COX15 homolog,O75878; Q7KZN9; Q5TD01; Q9NTN0; A8K6I9; O60556; Q5TD00; Q7Z3Q3
1356,ENSG00000047457,CP,ceruloplasmin,Ceruloplasmin,P00450; Q2PP18; Q9UKS4; Q14063
1357,ENSG00000091704,CPA1,carboxypeptidase A1,Carboxypeptidase A1,Q9UCF2; P15085; Q53XU0; A4D1M1; Q9BS67
1358,ENSG00000158516,CPA2,carboxypeptidase A2,Carboxypeptidase A2,Q53XS1; Q9UCF1; A4D1M4; P48052; Q96A12; Q96QN3; C9JIK1
1359,ENSG00000163751,CPA3,carboxypeptidase A3,Mast cell carboxypeptidase A,P15088; Q96E94
1360,ENSG00000153002,CPB1,carboxypeptidase B1,Carboxypeptidase B,Q53XJ0; P15086; O60834; Q96BQ8
1361,ENSG00000080618,CPB2,carboxypeptidase B2,Carboxypeptidase B2,Q15114; Q9P2Y6; A8K464; Q5T9K1; Q96IY4; Q5T9K2
1362,ENSG00000108582,CPD,carboxypeptidase D,Carboxypeptidase D,O75976; B7Z7T9; F5GZH6; B7ZAU4; Q86XE6; O15377; Q86SH9
1363,ENSG00000109472,CPE,carboxypeptidase E,Carboxypeptidase E,B3KR42; A8K4N1; B4DFN4; P16870; D3DP33; Q9UIU9
1364,ENSG00000189143,CLDN4,claudin 4,Claudin-4,O14493
1365,ENSG00000165215,CLDN3,claudin 3,Claudin-3,O15551
1366,ENSG00000181885,CLDN7,claudin 7,Claudin-7,O95471; Q6IPN3; Q9BVN0; D3DTP0; Q7Z4Y7; B2R9X7
1368,ENSG00000135678,CPM,carboxypeptidase M,Carboxypeptidase M,B2R800; Q9H2K9; P14384
1369,ENSG00000120054,CPN1,carboxypeptidase N subunit 1,Carboxypeptidase N catalytic chain,P15169; B1AP59
1370,ENSG00000178772,CPN2,carboxypeptidase N subunit 2,Carboxypeptidase N subunit 2,Q8N5V4; Q86SU4; B2RPE7; P22792
1371,ENSG00000080819,CPOX,coproporphyrinogen oxidase,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial",Q53F08; Q14060; B4DSD5; Q8IZ45; P36551; Q96AF3; A8K275
1373,ENSG00000021826,CPS1,carbamoyl-phosphate synthase 1,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",Q7Z5I5; O43774; Q59HF8; P31327; Q53TL5; B7Z818; J3KQL0
1374,ENSG00000110090,CPT1A,carnitine palmitoyltransferase 1A,"Carnitine O-palmitoyltransferase 1, liver isoform",P50416; Q8TCU0; Q9BWK0
1375,ENSG00000205560,CPT1B,carnitine palmitoyltransferase 1B,"Carnitine O-palmitoyltransferase 1, muscle isoform",Q92523; B7Z5T8; Q13389; Q99655; E9PCP2; Q9BY90; B7Z4U4
1376,ENSG00000157184,CPT2,carnitine palmitoyltransferase 2,"Carnitine O-palmitoyltransferase 2, mitochondrial",B2R6S0; Q5SW68; Q9BQ26; P23786
1378,ENSG00000203710,CR1,complement C3b/C4b receptor 1 (Knops blood group),Complement receptor type 1,Q16745; Q16744; Q5SR45; Q9UQV2; P17927; Q5SR43
1379,ENSG00000197721,CR1L,complement C3b/C4b receptor 1 like,Complement component receptor 1-like protein,Q2VPA4; Q32MC9; Q8NEU7
1380,ENSG00000117322,CR2,complement C3d receptor 2,Complement receptor type 2,C9JHD2; Q5SR48; Q5BKT9; Q13866; P20023; Q14212; Q53EL2; Q5SR46
1381,ENSG00000166426,CRABP1,cellular retinoic acid binding protein 1,Cellular retinoic acid-binding protein 1,Q8WTV5; P29762; Q6IAY7
1382,ENSG00000143320,CRABP2,cellular retinoic acid binding protein 2,Cellular retinoic acid-binding protein 2,B2R4Z8; P29373; D3DVC5; Q6ICN6; F1T098
1384,ENSG00000095321,CRAT,carnitine O-acetyltransferase,Carnitine O-acetyltransferase,P43155; Q9BW16; Q5T952
1385,ENSG00000118260,CREB1,cAMP responsive element binding protein 1,Cyclic AMP-responsive element-binding protein 1,P16220; P21934; Q9UMA7; Q6V963
1386,ENSG00000115966,ATF2,activating transcription factor 2,Cyclic AMP-dependent transcription factor ATF-2,A1L3Z2; G8JLM5; Q3B7B7; Q8TAR1; A4D7V1; P15336; Q13000; A4D7U5; D3DPE9; Q96JT8; Q53RY2; A4D7U4; Q4ZFU9
1387,ENSG00000005339,CREBBP,CREB binding protein,CREB-binding protein,Q92793; O00147; Q16376; D3DUC9; Q4LE28
1388,ENSG00000213676,ATF6B,activating transcription factor 6 beta,Cyclic AMP-dependent transcription factor ATF-6 beta,Q9H3V9; B0UYX6; Q13269; Q14343; Q9NPL0; Q99635; Q14345; Q99637; Q99941; Q5SSW7; Q9H3W1
1389,ENSG00000111269,CREBL2,cAMP responsive element binding protein like 2,cAMP-responsive element-binding protein-like 2,O60519; B5BUM5
1390,ENSG00000095794,CREM,cAMP responsive element modulator,cAMP-responsive element modulator,Q5W1A9; C9JZ10; O75519; Q15731; Q5W1B2; Q9NZB9; Q14504; Q14503; Q16114; Q16116; Q5W1B0; Q9NZ98; A8K6A1; E9PAR4; A8K014; Q14501; Q5W1A6; Q5W1A7; B4DXC1; Q03060; Q14506; A8K3J7; Q5W1A8; Q7Z2Q6; Q8IVD4; E9PHM1; Q14505; Q5T9H7; Q96AG7; Q9NZ99; A8MPQ2; C9J785
1392,ENSG00000147571,CRH,corticotropin releasing hormone,Corticoliberin,B3KQS4; P06850
1393,ENSG00000145708,CRHBP,corticotropin releasing hormone binding protein,Corticotropin-releasing factor-binding protein,P24387; Q53F32; Q6FHT5
1394,ENSG00000120088,CRHR1,corticotropin releasing hormone receptor 1,Corticotropin-releasing factor receptor 1,Q13008; Q9UK64; Q4QRJ1; P34998; B4DIE9
1395,ENSG00000106113,CRHR2,corticotropin releasing hormone receptor 2,Corticotropin-releasing factor receptor 2,B3SXS7; Q99431; B3SXS6; B2R967; B3SXT0; B3SXS8; F8WA81; O43461; Q13324; Q4QRJ4
1396,ENSG00000213145,CRIP1,cysteine rich protein 1,Cysteine-rich protein 1,P50238; H3BPI2; Q53XY7; Q96J34; Q13628
1397,ENSG00000182809,CRIP2,cysteine rich protein 2,Cysteine-rich protein 2,E9PD13; P52943; A1A4U1; B7Z6C0
1398,ENSG00000167193,CRK,"CRK proto-oncogene, adaptor protein",Adapter molecule crk,B0LPE8; Q96GA9; Q96HJ0; A8MWE8; P46108; D3DTH6
1399,ENSG00000099942,CRKL,"CRK like proto-oncogene, adaptor protein",Crk-like protein,A8KA44; D3DX35; P46109
1400,ENSG00000072832,CRMP1,collapsin response mediator protein 1,Dihydropyrimidinase-related protein 1,Q13024; Q4W5F1; Q96TC8; Q14194; A0EJG6
1401,ENSG00000132693,CRP,C-reactive protein,C-reactive protein,D3DVE0; P02741; A8K078; D3DVD9; Q08AK3; Q8WW75
1404,ENSG00000145681,HAPLN1,hyaluronan and proteoglycan link protein 1,Hyaluronan and proteoglycan link protein 1,P10915; B2R9A9
1406,ENSG00000105392,CRX,cone-rod homeobox,Cone-rod homeobox protein,Q0QD45; O43186
1407,ENSG00000008405,CRY1,cryptochrome circadian regulator 1,Cryptochrome-1,Q16526
1408,ENSG00000121671,CRY2,cryptochrome circadian regulator 2,Cryptochrome-2,B4DZD6; Q49AN0; Q8IV71; B4DH32; O75148
1409,ENSG00000160202,CRYAA,crystallin alpha A,Alpha-crystallin A chain,E9PHE4; P02489; A0A140G945; Q53X53
1410,ENSG00000109846,CRYAB,crystallin alpha B,Alpha-crystallin B chain,Q9UC38; O43416; Q9UC40; P02511; Q9UC41; B0YIX0; Q9UC37; Q9UC39
1411,ENSG00000108255,CRYBA1,crystallin beta A1,Beta-crystallin A3,P05813; Q14CM9; Q13633
1412,ENSG00000163499,CRYBA2,crystallin beta A2,Beta-crystallin A2,P53672; Q4ZFX0; Q9Y562
1413,ENSG00000196431,CRYBA4,crystallin beta A4,Beta-crystallin A4,P53673; Q6ICE4; Q4VB22
1414,ENSG00000100122,CRYBB1,crystallin beta B1,Beta-crystallin B1,P53674
1415,ENSG00000244752,CRYBB2,crystallin beta B2,Beta-crystallin B2,Q9UCM8; P43320
1416,ENSG00000291087,CRYBB2P1,crystallin beta B2 pseudogene 1,-,-
1417,ENSG00000100053,CRYBB3,crystallin beta B3,Beta-crystallin B3,Q9UH09; Q92965; P26998; Q3B7S9; Q3T1B7; Q6ISK6
1418,ENSG00000168582,CRYGA,crystallin gamma A,Gamma-crystallin A,P11844; Q53ST5
1419,ENSG00000182187,CRYGB,crystallin gamma B,Gamma-crystallin B,Q17RB5; P07316; Q53ST2
1420,ENSG00000163254,CRYGC,crystallin gamma C,Gamma-crystallin C,Q53R50; P07315
1421,ENSG00000118231,CRYGD,crystallin gamma D,Gamma-crystallin D,P07320; Q17RF7; Q99681; Q53R51
1427,ENSG00000213139,CRYGS,crystallin gamma S,Gamma-crystallin S,B2RAF8; P22914
1428,ENSG00000103316,CRYM,crystallin mu,Ketimine reductase mu-crystallin,Q14894; D5MNX0; Q5HYB7
1429,ENSG00000116791,CRYZ,crystallin zeta,Quinone oxidoreductase,D3DQ76; A6NN60; Q53FT0; Q5HYE7; Q6NSK9; Q08257; Q59EU7
1431,ENSG00000062485,CS,citrate synthase,"Citrate synthase, mitochondrial",Q9BWN8; Q7KZH0; Q96FZ8; Q71UT9; O75390
1432,ENSG00000112062,MAPK14,mitogen-activated protein kinase 14,Mitogen-activated protein kinase 14,Q13083; B5TY32; Q14084; Q16539; A8K6P4; B0LPH0; Q8TDX0; O60776; A6ZJ92
1434,ENSG00000124207,CSE1L,chromosome segregation 1 like,Exportin-2,B2R5T4; P55060; A3RLL6; Q9H5B7; F8W904; Q9UP98; Q9NTS0; Q9UP99; E1P5Y0; Q32M40; Q9UPA0; O75432
1435,ENSG00000184371,CSF1,colony stimulating factor 1,Macrophage colony-stimulating factor 1,Q5VVF4; P09603; A8K6J5; Q14806; Q9UQR8; Q5VVF3; Q14086; Q13130
1436,ENSG00000182578,CSF1R,colony stimulating factor 1 receptor,Macrophage colony-stimulating factor 1 receptor,B5A955; Q6LDY4; Q6LDW5; P07333; Q86VW7; D3DQG2
1437,ENSG00000164400,CSF2,colony stimulating factor 2,Granulocyte-macrophage colony-stimulating factor,Q2VPI8; P04141; Q14CE8; Q8NFI6
1438,ENSG00000292357,CSF2RA,colony stimulating factor 2 receptor subunit alpha,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,Q14429; A7J003; J3JS76; O00207; Q14430; B4DW68; P15509; A8KAM1; Q14431; Q16564; J3JS77
1439,ENSG00000100368,CSF2RB,colony stimulating factor 2 receptor subunit beta,Cytokine receptor common subunit beta,Q6ICE0; Q5JZI1; P32927
1440,ENSG00000108342,CSF3,colony stimulating factor 3,Granulocyte colony-stimulating factor,P09919; A8MXR7
1441,ENSG00000119535,CSF3R,colony stimulating factor 3 receptor,Granulocyte colony-stimulating factor receptor,Q99062
1442,ENSG00000136488,CSH1,chorionic somatomammotropin hormone 1,Chorionic somatomammotropin hormone 1; Chorionic somatomammotropin hormone 2,P0DML2; P01243; P0DML3; Q0VDB1; Q14407
1443,ENSG00000213218,CSH2,chorionic somatomammotropin hormone 2,Chorionic somatomammotropin hormone 1; Chorionic somatomammotropin hormone 2,P01243; Q0VDB1; P0DML3; Q14407
1444,ENSG00000204414,CSHL1,chorionic somatomammotropin hormone like 1,Chorionic somatomammotropin hormone-like 1,D3DU26; Q0VDB2; Q14406; D3DU27
1445,ENSG00000103653,CSK,C-terminal Src kinase,Tyrosine-protein kinase CSK,P41240; Q2M3N2; Q6FGZ6
1446,ENSG00000126545,CSN1S1,casein alpha s1,Alpha-S1-casein,A1A511; A1A510; P47710; E9PB60; Q4PNR5
1447,ENSG00000135222,CSN2,casein beta,Beta-casein,Q4VAZ9; Q9UCM5; P05814
1448,ENSG00000171209,CSN3,casein kappa,Kappa-casein,P07498; Q13575
1452,ENSG00000113712,CSNK1A1,casein kinase 1 alpha 1,Casein kinase I isoform alpha,Q71TU5; Q5U047; Q9UDK3; Q4JJA0; Q96HD2; D3DQG1; Q5U046; P48729; D3DQG0; Q6FGA2
1453,ENSG00000141551,CSNK1D,casein kinase 1 delta,Casein kinase I isoform delta,P48730; Q9BTN5; A2I2P2; Q96KZ6
1454,ENSG00000213923,CSNK1E,casein kinase 1 epsilon,Casein kinase I isoform epsilon,P49674
1455,ENSG00000133275,CSNK1G2,casein kinase 1 gamma 2,Casein kinase I isoform gamma-2,O00704; Q8WUB1; B5BU42; P78368
1456,ENSG00000151292,CSNK1G3,casein kinase 1 gamma 3,Casein kinase I isoform gamma-3,E7EVD0; Q86WZ7; Q9Y6M4; B4DSH2; B7Z9Q4; Q9Y6M3; A8K040
1457,ENSG00000101266,CSNK2A1,casein kinase 2 alpha 1,Casein kinase II subunit alpha,P20426; P68400; B4DYS6; Q14013; D3DVV8; P19138; Q5U065
1459,ENSG00000070770,CSNK2A2,casein kinase 2 alpha 2,Casein kinase II subunit alpha',P19784
1460,ENSG00000204435,CSNK2B,casein kinase 2 beta,Casein kinase II subunit beta,P07312; B0UXA9; P67870; P13862; Q4VX47
1462,ENSG00000038427,VCAN,versican,Versican core protein,Q13010; P13611; Q15123; P20754; Q13189; Q9UNW5; Q9UCL9
1463,ENSG00000130287,NCAN,neurocan,Neurocan core protein,Q9UPK6; O14594
1464,ENSG00000173546,CSPG4,chondroitin sulfate proteoglycan 4,Chondroitin sulfate proteoglycan 4,Q6UVK1; D3DW77; Q92675
1465,ENSG00000159176,CSRP1,cysteine and glycine rich protein 1,Cysteine and glycine-rich protein 1,A8K268; Q5U0J2; P21291
